%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580247281683268875,1,1580247281679235935,gps,42.3403186667,-71.08512,-24.8,328234,4689668,19,T
1580247282683681458,2,1580247282679011106,gps,42.3403153333,-71.0851166667,-24.2,328235,4689667,19,T
1580247283681917935,3,1580247283677798032,gps,42.3403123333,-71.085114,-24.0,328235,4689667,19,T
1580247284678209255,4,1580247284677356004,gps,42.3403138333,-71.0851153333,-23.7,328235,4689667,19,T
1580247285680656974,5,1580247285676559925,gps,42.3403093333,-71.0851126667,-23.5,328235,4689667,19,T
1580247286680473185,6,1580247286676511049,gps,42.3403083333,-71.0851171667,-22.7,328235,4689666,19,T
1580247287685125058,7,1580247287680752992,gps,42.3403093333,-71.0851251667,-22.4,328234,4689667,19,T
1580247288682902621,8,1580247288679028987,gps,42.3403135,-71.0851391667,-24.5,328233,4689667,19,T
1580247289681669207,9,1580247289677815914,gps,42.3403131667,-71.0851518333,-25.0,328232,4689667,19,T
1580247290682378119,10,1580247290678334951,gps,42.3403065,-71.0851581667,-24.6,328231,4689666,19,T
1580247291682001623,11,1580247291678164005,gps,42.3403155,-71.0851868333,-25.4,328229,4689667,19,T
1580247292682718014,12,1580247292678915023,gps,42.3403106667,-71.0851945,-25.8,328228,4689667,19,T
1580247293681018721,13,1580247293677257061,gps,42.340308,-71.0852016667,-26.2,328228,4689667,19,T
1580247294684501584,14,1580247294680346965,gps,42.3402946667,-71.085202,-25.1,328228,4689665,19,T
1580247295685364903,15,1580247295681462049,gps,42.3402796667,-71.0851995,-23.8,328228,4689663,19,T
1580247296683590867,16,1580247296679847955,gps,42.3402731667,-71.0852075,-23.1,328227,4689663,19,T
1580247297675738736,17,1580247297671808004,gps,42.3402726667,-71.085213,-23.2,328227,4689663,19,T
1580247298673360440,18,1580247298672359943,gps,42.3402663333,-71.0852211667,-22.6,328226,4689662,19,T
1580247299698906081,19,1580247299694626092,gps,42.3402603333,-71.0852308333,-21.8,328225,4689661,19,T
1580247300687870073,20,1580247300684017896,gps,42.3402533333,-71.0852401667,-21.8,328224,4689661,19,T
1580247301686822936,21,1580247301682270050,gps,42.3402441667,-71.0852511667,-21.5,328223,4689660,19,T
1580247302683427883,22,1580247302679506063,gps,42.340232,-71.0852566667,-21.1,328223,4689658,19,T
1580247303683251098,23,1580247303679091930,gps,42.3402265,-71.085268,-21.3,328222,4689658,19,T
1580247304683104804,24,1580247304679094076,gps,42.3402151667,-71.0852746667,-20.8,328221,4689656,19,T
1580247305685175316,25,1580247305681163072,gps,42.3402058333,-71.0852818333,-20.3,328221,4689655,19,T
1580247306684418294,26,1580247306680151939,gps,42.3401943333,-71.0852898333,-19.1,328220,4689654,19,T
1580247307685560463,27,1580247307681365966,gps,42.340191,-71.0853008333,-19.1,328219,4689654,19,T
1580247308683806688,28,1580247308679934978,gps,42.3401818333,-71.0853085,-18.5,328219,4689653,19,T
1580247309684845872,29,1580247309680986881,gps,42.3401708333,-71.085316,-17.5,328218,4689652,19,T
1580247310685040814,30,1580247310681112051,gps,42.3401651667,-71.0853271667,-16.6,328217,4689651,19,T
1580247311684028166,31,1580247311679992914,gps,42.3401558333,-71.085339,-15.6,328216,4689650,19,T
1580247312685261603,32,1580247312681051969,gps,42.3401521667,-71.0853625,-13.3,328214,4689650,19,T
1580247313683916194,33,1580247313680093050,gps,42.3401413333,-71.085378,-11.7,328213,4689648,19,T
1580247314685007755,34,1580247314681039094,gps,42.340131,-71.0853921667,-10.3,328211,4689647,19,T
1580247315681034133,35,1580247315676987886,gps,42.3401198333,-71.085406,-9.8,328210,4689646,19,T
1580247316684453436,36,1580247316680452108,gps,42.3401098333,-71.0854195,-9.3,328209,4689645,19,T
1580247317683743457,37,1580247317679152011,gps,42.3401018333,-71.0854341667,-8.3,328208,4689644,19,T
1580247318683495898,38,1580247318679455995,gps,42.3400953333,-71.0854531667,-6.6,328206,4689644,19,T
1580247319690026697,39,1580247319685947895,gps,42.3400861667,-71.0854595,-6.7,328206,4689642,19,T
1580247320685970722,40,1580247320682190895,gps,42.3400776667,-71.085472,-6.0,328205,4689642,19,T
1580247321685621140,41,1580247321681433916,gps,42.340071,-71.0854833333,-6.0,328204,4689641,19,T
1580247322688744764,42,1580247322684585094,gps,42.3400615,-71.0854946667,-5.7,328203,4689640,19,T
1580247323688876672,43,1580247323684860944,gps,42.3400518333,-71.0855018333,-6.3,328202,4689639,19,T
1580247324678700009,44,1580247324676918029,gps,42.3400426667,-71.0855135,-5.8,328201,4689638,19,T
1580247325683350387,45,1580247325679246902,gps,42.3400271667,-71.0855198333,-5.2,328201,4689636,19,T
1580247326682921781,46,1580247326678709983,gps,42.340017,-71.08553,-5.4,328200,4689635,19,T
1580247327684493911,47,1580247327680592060,gps,42.3400098333,-71.0855373333,-5.9,328199,4689634,19,T
1580247328683737939,48,1580247328679723024,gps,42.3400016667,-71.0855483333,-6.2,328198,4689633,19,T
