%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580243264102372322,1,1580243264101073026,gps,42.3410296667,-71.0886863333,-94.7,327943,4689754,19,T
1580243265107997745,2,1580243265107072114,gps,42.3410166667,-71.0886813333,-95.9,327943,4689752,19,T
1580243266113116118,3,1580243266107841968,gps,42.3410056667,-71.088673,-97.1,327944,4689751,19,T
1580243267104740283,4,1580243267103811979,gps,42.340993,-71.088671,-98.1,327944,4689750,19,T
1580243268107696366,5,1580243268106806993,gps,42.3409838333,-71.0886673333,-98.8,327944,4689749,19,T
1580243269106810250,6,1580243269105889081,gps,42.3409741667,-71.0886638333,-99.7,327944,4689748,19,T
1580243270106833859,7,1580243270105993986,gps,42.3409636667,-71.0886645,-100.5,327944,4689746,19,T
1580243271107739023,8,1580243271103657960,gps,42.3409575,-71.0886585,-101.2,327945,4689746,19,T
1580243272110838913,9,1580243272107001066,gps,42.3409506667,-71.0886598333,-101.5,327945,4689745,19,T
1580243273110695736,10,1580243273106909036,gps,42.3409436667,-71.0886616667,-101.9,327944,4689744,19,T
1580243274113410334,11,1580243274109210968,gps,42.3409398333,-71.0886591667,-102.2,327945,4689744,19,T
1580243275110277336,12,1580243275108809947,gps,42.3409341667,-71.08866,-102.5,327944,4689743,19,T
1580243276112068691,13,1580243276107824087,gps,42.3409326667,-71.0886645,-102.4,327944,4689743,19,T
1580243277112783300,14,1580243277108155012,gps,42.340931,-71.088667,-102.3,327944,4689743,19,T
1580243278108687147,15,1580243278104829072,gps,42.3409316667,-71.0886705,-101.9,327944,4689743,19,T
1580243279114714712,16,1580243279110574007,gps,42.340932,-71.0886755,-101.5,327943,4689743,19,T
1580243280113830590,17,1580243280109765052,gps,42.3409311667,-71.088682,-101.2,327943,4689743,19,T
1580243281113461404,18,1580243281109359979,gps,42.3409318333,-71.0886843333,-100.9,327942,4689743,19,T
1580243282109914856,19,1580243282109010934,gps,42.3409305,-71.0886868333,-100.8,327942,4689743,19,T
1580243283114926028,20,1580243283110852956,gps,42.3409301667,-71.0886806667,-101.0,327943,4689743,19,T
1580243284109090453,21,1580243284108130931,gps,42.3409285,-71.0886798333,-101.0,327943,4689743,19,T
1580243285109152466,22,1580243285108268022,gps,42.3409268333,-71.0886761667,-101.0,327943,4689742,19,T
1580243286113286164,23,1580243286109352111,gps,42.3409246667,-71.0886753333,-101.1,327943,4689742,19,T
1580243287106427380,24,1580243287105180978,gps,42.340921,-71.0886803333,-101.1,327943,4689742,19,T
1580243288110427806,25,1580243288109558105,gps,42.3409168333,-71.0886818333,-101.2,327943,4689741,19,T
1580243289109789706,26,1580243289105797052,gps,42.3409141667,-71.0886801667,-101.4,327943,4689741,19,T
1580243290108683085,27,1580243290107754945,gps,42.3409111667,-71.0886848333,-101.4,327942,4689741,19,T
1580243291115886494,28,1580243291111866950,gps,42.340907,-71.0886896667,-101.4,327942,4689740,19,T
1580243292116261309,29,1580243292112253904,gps,42.3409013333,-71.0886996667,-101.3,327941,4689740,19,T
1580243293108976516,30,1580243293108068943,gps,42.3408983333,-71.0887023333,-101.3,327941,4689739,19,T
1580243294112640154,31,1580243294108222961,gps,42.3409041667,-71.088713,-100.3,327940,4689740,19,T
1580243295114712054,32,1580243295110811948,gps,42.340911,-71.0887236667,-99.4,327939,4689741,19,T
1580243296113647059,33,1580243296109811067,gps,42.3409176667,-71.0887325,-98.5,327938,4689741,19,T
1580243297109268316,34,1580243297108326911,gps,42.3409198333,-71.0887518333,-97.5,327937,4689742,19,T
1580243298115305116,35,1580243298110810995,gps,42.3409338333,-71.0887771667,-95.4,327935,4689743,19,T
1580243299105466603,36,1580243299104350090,gps,42.3409468333,-71.0888043333,-93.4,327933,4689745,19,T
1580243300108267862,37,1580243300107382059,gps,42.3409603333,-71.0888385,-91.0,327930,4689746,19,T
1580243301114793654,38,1580243301110614061,gps,42.3409748333,-71.0888616667,-88.9,327928,4689748,19,T
1580243302110665607,39,1580243302109762907,gps,42.3409915,-71.0888803333,-86.9,327926,4689750,19,T
1580243303115113757,40,1580243303110995054,gps,42.3410066667,-71.0889001667,-85.0,327925,4689752,19,T
1580243304113165968,41,1580243304109159946,gps,42.3410233333,-71.088921,-82.8,327923,4689754,19,T
1580243305116625097,42,1580243305112694978,gps,42.3410326667,-71.0889563333,-80.6,327920,4689755,19,T
1580243306119012024,43,1580243306114658117,gps,42.3410448333,-71.0889791667,-78.6,327918,4689756,19,T
1580243307110095640,44,1580243307109162092,gps,42.3410601667,-71.0889973333,-76.7,327917,4689758,19,T
1580243308110245379,45,1580243308109292030,gps,42.3410765,-71.08901,-75.1,327916,4689760,19,T
1580243309107570793,46,1580243309106682062,gps,42.3410935,-71.0890223333,-73.4,327915,4689762,19,T
1580243310114736776,47,1580243310110732078,gps,42.3411036667,-71.0890415,-71.7,327913,4689763,19,T
1580243311115615428,48,1580243311113346099,gps,42.3411201667,-71.089049,-70.3,327913,4689765,19,T
1580243312115751742,49,1580243312111563920,gps,42.3411331667,-71.0890575,-68.9,327912,4689766,19,T
1580243313117930425,50,1580243313113899946,gps,42.3411446667,-71.0890756667,-67.4,327911,4689767,19,T
1580243314107807171,51,1580243314106789112,gps,42.3411518333,-71.0890896667,-66.1,327910,4689768,19,T
1580243315111746516,52,1580243315110888004,gps,42.341163,-71.0890941667,-65.1,327909,4689769,19,T
1580243316115772352,53,1580243316111834049,gps,42.3411686667,-71.0891065,-64.0,327908,4689770,19,T
1580243317116983071,54,1580243317113089084,gps,42.341172,-71.0891196667,-62.9,327907,4689770,19,T
1580243318110013905,55,1580243318109113931,gps,42.3411731667,-71.0891355,-61.9,327906,4689771,19,T
1580243319118499923,56,1580243319114435911,gps,42.341179,-71.089142,-61.0,327905,4689771,19,T
1580243320118056480,57,1580243320114233970,gps,42.3411941667,-71.0891413333,-60.0,327906,4689773,19,T
1580243321115185208,58,1580243321111257076,gps,42.341208,-71.0891386667,-59.1,327906,4689775,19,T
1580243322114280857,59,1580243322113388061,gps,42.341219,-71.0891373333,-58.3,327906,4689776,19,T
1580243323112375056,60,1580243323110639095,gps,42.341235,-71.089132,-57.6,327906,4689777,19,T
1580243324111626141,61,1580243324110685110,gps,42.3412568333,-71.0891183333,-56.8,327908,4689780,19,T
1580243325112619486,62,1580243325111726045,gps,42.3412673333,-71.0891221667,-55.9,327907,4689781,19,T
